"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",1107.789196327341,1073.3089343426757,1091.3289948265403,1144.478646441075
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",140.70662022172397,141.88140267280346,128.34211781038434,133.29035882384323
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",1659.9109101740708,1714.256840763746,1598.22578058523,1557.2013109353097
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",155.8379935743089,147.18427186816996,156.16311945660937,164.11903160457115
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",1283.9089624467108,1243.4136898225934,1290.266721559402,1270.9736170444576
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",125.36302019524378,125.42406544513901,115.94524811701953,122.36220258679083
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",1395.498148811689,1512.2078526669773,1444.1089479656614,1583.0586710532157
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",610.6376220652073,587.8522084210574,521.9724764372997,509.0150653769564
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",1944.6514311228805,1889.0752138648868,1752.5537918848752,1826.482232174227
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",782.4063437295349,809.0862907333269,983.6039369332979,922.8079949237482
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",1476.8036087817761,1513.436217571526,1546.7899194068866,1625.78190899332
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",359.04130982675287,331.90471799551904,277.0361193140558,314.2965052360124
"JSD, surgical_case_durations    sigma    0.005",759.1560530730903,877.3781339205769,905.1637273095002,821.5694972541731
"JSD, surgical_case_durations    sigma    0.01",849.5014658538257,947.2813131474901,796.5471715507117,971.1045264140131
"JSD, surgical_case_durations    sigma    0.02",1244.5292760708046,1236.9041028898632,1077.915828467493,1220.4451476915915
"JSD, surgical_case_durations    sigma    0.05",1622.1802448224885,1614.5624934247305,1759.5205528897673,1703.5932460942395
"JSD, surgical_case_durations    sigma    0.1",1861.798185824973,1744.7314285055008,2063.6446822929774,1984.9843288035224
"JSD, surgical_case_durations    sigma    0.2",2270.4884220992185,1988.361499444092,2102.3389028991432,2128.3007484489326
"JSD, surgical_case_durations    missing_entry    0.001",1109.9679088888495,1045.2795140949693,1030.0402982820335,989.3886131889644
"JSD, surgical_case_durations    missing_entry    0.005",1066.2170533165022,964.1186205821814,1046.7027391694394,1020.2235236928759
"JSD, surgical_case_durations    missing_entry    0.01",1103.2642496145197,1067.0482145459123,1098.3696255297064,1054.1387373650568
"JSD, surgical_case_durations    missing_entry    0.05",1178.6854397920356,1139.8344323462798,1173.6100434447865,1068.7756398614788
"JSD, surgical_case_durations    missing_entry    0.1",1198.5185636126666,1322.8754617583952,1271.661034502452,1302.6250502645473
"JSD, surgical_case_durations    missing_entry    0.5",1889.4439782658133,2074.7978528592353,1860.1489755148045,1769.0394456418212
"JSD, surgical_case_durations    missing_entry_combined    0.001",1160.325022615571,1345.8798339173215,1288.6726075957793,1210.295368026377
"JSD, surgical_case_durations    missing_entry_combined    0.005",1208.1089963061233,1103.8291034803724,1225.6451876680114,1232.1744020901835
"JSD, surgical_case_durations    missing_entry_combined    0.01",1052.0992778434993,1098.3159184267931,1328.3673591473691,1091.626856877628
"JSD, surgical_case_durations    missing_entry_combined    0.05",1315.5799664652811,1059.208890198647,1214.9633552015853,1224.981537376429
"JSD, surgical_case_durations    missing_entry_combined    0.1",1237.1740524727588,1354.586971401315,1276.216162625088,1280.9490685881815
"JSD, surgical_case_durations    missing_entry_combined    0.5",1878.8105347123337,1927.7261552132866,1824.5470555871639,1906.9058769574376
"JSDu, surgical_case_durations    sigma    0.005",304.8862925765354,294.268687185918,290.35039384144056,305.9792029445807
"JSDu, surgical_case_durations    sigma    0.01",452.60102466348434,424.9189330007164,461.75460130535544,456.82649071866336
"JSDu, surgical_case_durations    sigma    0.02",991.6861927546478,964.2088142814357,995.7902696794704,972.9092798596567
"JSDu, surgical_case_durations    sigma    0.05",2170.8407448287503,2315.227798232507,2128.089348881738,2144.742121482272
"JSDu, surgical_case_durations    sigma    0.1",3149.1041710996296,3015.1618420004943,3156.596839621152,3175.066745201713
"JSDu, surgical_case_durations    sigma    0.2",3871.09103009897,3823.0157603859025,3690.0981742378763,3797.1254179590464
"JSDu, surgical_case_durations    missing_entry    0.001",1177.0634117914456,1142.3887156351664,1123.6108930732478,1019.3264918233641
"JSDu, surgical_case_durations    missing_entry    0.005",1124.1453653428734,1192.3132207740082,1072.0376127436375,1150.7408396042197
"JSDu, surgical_case_durations    missing_entry    0.01",1105.979119942663,1180.4588966260924,1160.086411063867,1054.6082286615208
"JSDu, surgical_case_durations    missing_entry    0.05",1073.789330213586,1197.4854878913375,1150.3130646742688,1268.1273941566872
"JSDu, surgical_case_durations    missing_entry    0.1",1121.4258827759334,1174.6255245155203,1270.3679984445503,1211.6932567807048
"JSDu, surgical_case_durations    missing_entry    0.5",1675.344604055796,1495.2370689275538,1711.2528129986213,1591.0911312492938
"JSDu, surgical_case_durations    missing_entry_combined    0.001",1000.0086885291977,921.3231059246098,982.1045606341927,970.2594777981553
"JSDu, surgical_case_durations    missing_entry_combined    0.005",993.0815131231642,986.8151638780081,975.5589427566148,972.3787078314064
"JSDu, surgical_case_durations    missing_entry_combined    0.01",977.6673073148432,1008.6099821455272,997.3653843637167,977.2433508459007
