"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317
"JSD, surgical_case_durations    sigma    0.005",114473.29740131345,114673.10038902817,114540.94775931121,114572.39251519316
"JSD, surgical_case_durations    sigma    0.01",143412.15016701308,143319.74723796826,143331.19553392625,143454.75952135946
"JSD, surgical_case_durations    sigma    0.02",172809.07955251783,172975.1168084001,172963.0597830164,173148.0275412125
"JSD, surgical_case_durations    sigma    0.05",202627.0357157615,202654.92149360292,202455.06135779456,202740.52086706122
"JSD, surgical_case_durations    sigma    0.1",214750.6068100218,214752.64686374224,214492.26037063755,214759.59804019923
"JSD, surgical_case_durations    sigma    0.2",220767.6329886138,220585.1040083171,220598.30019741703,220708.56347544736
"JSD, surgical_case_durations    missing_entry    0.001",53582.98151612072,53588.53249454862,53585.52651502059,53596.837405324084
"JSD, surgical_case_durations    missing_entry    0.005",54624.084521843644,54473.54556776565,54559.89988095886,54660.217559933495
"JSD, surgical_case_durations    missing_entry    0.01",55737.11843142229,55732.91488420756,55772.182048748014,55758.59745843547
"JSD, surgical_case_durations    missing_entry    0.05",65611.25101036276,65766.36871712131,65668.10675349501,65520.65123070588
"JSD, surgical_case_durations    missing_entry    0.1",77858.92600411297,77599.22236466654,77799.36936126769,77746.8012516555
"JSD, surgical_case_durations    missing_entry    0.5",175322.87919067108,175709.05980667798,175553.8794975976,174999.82723803757
"JSD, surgical_case_durations    missing_entry_combined    0.001",173169.916251341,173266.55797558074,172909.66912777608,172826.22075444076
"JSD, surgical_case_durations    missing_entry_combined    0.005",173536.07419232323,173776.18040104487,173708.35351196848,173717.13027467803
"JSD, surgical_case_durations    missing_entry_combined    0.01",174346.4150304374,174115.2863079692,174418.09922558966,174196.837931451
"JSD, surgical_case_durations    missing_entry_combined    0.05",179160.23758815895,179268.3968137941,179363.69614367755,179279.7699473025
"JSD, surgical_case_durations    missing_entry_combined    0.1",185662.7166205673,185445.18024676136,185705.7563919323,185269.75012248874
"JSD, surgical_case_durations    missing_entry_combined    0.5",235421.6055120714,235609.45486757785,235760.61516770956,235589.39602783855
"JSDu, surgical_case_durations    sigma    0.005",114625.3821242939,114454.3041263746,114656.63204730755,114553.92897478073
"JSDu, surgical_case_durations    sigma    0.01",143215.99212489452,143419.20815841656,143440.98010207937,143332.920448235
"JSDu, surgical_case_durations    sigma    0.02",172892.0080272076,172932.38985924027,172975.99156012313,173071.16749393378
"JSDu, surgical_case_durations    sigma    0.05",202599.2023006591,202614.61035629653,202800.3424288438,202620.4084142084
"JSDu, surgical_case_durations    sigma    0.1",214896.60363258733,214620.6672803512,214652.99950028438,214711.20664144034
"JSDu, surgical_case_durations    sigma    0.2",220749.85497382662,220802.1610462474,220655.22919132953,220745.28821987138
"JSDu, surgical_case_durations    missing_entry    0.001",53590.63684943204,53587.883480632394,53622.58565215189,53601.35043264695
"JSDu, surgical_case_durations    missing_entry    0.005",54630.02405930757,54643.80609877561,54519.11046141029,54611.79495110131
"JSDu, surgical_case_durations    missing_entry    0.01",55704.7660839145,55716.40089924006,55848.797182513255,55781.0934726023
"JSDu, surgical_case_durations    missing_entry    0.05",65673.35023106314,65594.45112953607,65413.47544294609,65586.52033687031
"JSDu, surgical_case_durations    missing_entry    0.1",77549.65364077009,77796.40734769849,77922.72759731929,77859.76993858165
"JSDu, surgical_case_durations    missing_entry    0.5",175538.9970120514,176445.31953338822,175798.34327407763,175555.8518586604
"JSDu, surgical_case_durations    missing_entry_combined    0.001",173103.14293075973,173039.50175388705,173122.10606678046,173212.77241137886
"JSDu, surgical_case_durations    missing_entry_combined    0.005",173609.61418165665,173730.77559862717,173516.83717008532,173518.6911892578
"JSDu, surgical_case_durations    missing_entry_combined    0.01",174281.8324808966,174115.19827042392,174379.60282216122,174239.07883654794
"JSDu, surgical_case_durations    missing_entry_combined    0.05",178979.67653442142,179259.869945299,179170.1343061905,179077.15215866017
"JSDu, surgical_case_durations    missing_entry_combined    0.1",185780.74972095786,185444.022053255,185306.6641980797,185534.70795088226
