"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.280665221944,53339.280665221944
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.67080610842,63598.67080610842
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048315,11365.27991048315
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.28066522196,53339.280665221944,53339.280665221944
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187,6649.793355249187
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286,33086.94686218286
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566,4492.980024389566
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.670806108516,63598.67080610842,63598.67080610842
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048317,11365.27991048315,11365.27991048315
"JSD, surgical_case_durations    sigma    0.005",114502.18447892714,114578.38655434245,114497.61404566935,114534.24079778252,114636.33759778307,114533.12159663021,114473.29740131345,114673.10038902817,114540.94775931121,114572.39251519316,114491.74295257815,114519.44289700627
"JSD, surgical_case_durations    sigma    0.01",143524.10741025378,143301.49271673063,143426.18232129852,143249.08127450582,143532.5839339114,143480.41770437016,143412.15016701308,143319.74723796826,143331.19553392625,143454.75952135946,143526.2134987733,143496.14168245782
"JSD, surgical_case_durations    sigma    0.02",173222.78195302322,172880.2812699519,172892.2988851723,173059.927187904,173010.45071731647,173034.86521633563,172809.07955251783,172975.1168084001,172963.0597830164,173148.0275412125,173209.32769070158,172933.9821977222
"JSD, surgical_case_durations    sigma    0.05",202676.30419836825,202541.47908642274,202433.96312029118,202831.55001605008,202638.91051995644,202549.32548362293,202627.0357157615,202654.92149360292,202455.06135779456,202740.52086706122,202539.6742014215,202713.18372084896
"JSD, surgical_case_durations    sigma    0.1",214541.52078141968,214680.39873652987,214611.16844064646,214814.6528000163,214739.07317924176,214685.59857227767,214750.6068100218,214752.64686374224,214492.26037063755,214759.59804019923,214727.4103550297,214669.33026031652
"JSD, surgical_case_durations    sigma    0.2",220632.47181058288,220858.3168755516,220652.78626489625,220665.2338761915,220537.30965133602,220607.6488927175,220767.6329886138,220585.1040083171,220598.30019741703,220708.56347544736,220542.97793062424,220755.71180654995
"JSD, surgical_case_durations    missing_entry    0.001",53588.29743905948,53566.35274842559,53587.55625214032,53622.480540511395,53589.88975350095,53559.74197165813,53582.98151612072,53588.53249454862,53585.52651502059,53596.837405324084,53584.477062610385,53593.53752048059
"JSD, surgical_case_durations    missing_entry    0.005",54588.68958370508,54557.29070910259,54573.63083469475,54531.854275790254,54589.58501044899,54554.93044760041,54624.084521843644,54473.54556776565,54559.89988095886,54660.217559933495,54525.84651653744,54513.36867820501
"JSD, surgical_case_durations    missing_entry    0.01",55945.02029019983,55724.041494459074,55790.87231296472,55743.733007484,55798.97647983679,55826.90874523403,55737.11843142229,55732.91488420756,55772.182048748014,55758.59745843547,55691.73774323729,55778.47661524925
"JSD, surgical_case_durations    missing_entry    0.05",65854.96219282261,65400.91922356886,65524.32380283001,65595.67576472365,65477.442904400945,65340.18435744646,65611.25101036276,65766.36871712131,65668.10675349501,65520.65123070588,65598.74072935645,65662.121977391
