"JSD, LBP RA, SD=100    missing_entry    0.01"
"JSD, LBP RA, SD=100    missing_entry    0.05"
"JSD, LBP RA, SD=100    missing_entry    0.1"
"JSD, LBP RA, SD=100    missing_entry    0.5"
"JSD, LBP RA, SD=100    missing_entry_combined    0.001"
"JSD, LBP RA, SD=100    missing_entry_combined    0.005"
"JSD, LBP RA, SD=100    missing_entry_combined    0.01"
"JSD, LBP RA, SD=100    missing_entry_combined    0.05"
"JSD, LBP RA, SD=100    missing_entry_combined    0.1"
"JSD, LBP RA, SD=100    missing_entry_combined    0.5"
"JSDu, LBP RA, SD=100    sigma    0.005"
"JSDu, LBP RA, SD=100    sigma    0.01"
"JSDu, LBP RA, SD=100    sigma    0.02",10536.50100862295
"JSDu, LBP RA, SD=100    sigma    0.05",17789.95262750599
"JSDu, LBP RA, SD=100    sigma    0.1",23548.452277404656
"JSDu, LBP RA, SD=100    sigma    0.2",28567.80992844114
"JSDu, LBP RA, SD=100    missing_entry    0.001",33.251895231095126
"JSDu, LBP RA, SD=100    missing_entry    0.005",175.57000682018122
"JSDu, LBP RA, SD=100    missing_entry    0.01",346.4847483080089
"JSDu, LBP RA, SD=100    missing_entry    0.05",1752.3748786787005
"JSDu, LBP RA, SD=100    missing_entry    0.1",3512.0651743082417
"JSDu, LBP RA, SD=100    missing_entry    0.5",17570.301440110532
"JSDu, LBP RA, SD=100    missing_entry_combined    0.001",10546.357812245893
"JSDu, LBP RA, SD=100    missing_entry_combined    0.005",10649.23886457817
"JSDu, LBP RA, SD=100    missing_entry_combined    0.01",10770.62114861991
"JSDu, LBP RA, SD=100    missing_entry_combined    0.05",11772.871303652253
"JSDu, LBP RA, SD=100    missing_entry_combined    0.1",12990.363224664843
"JSDu, LBP RA, SD=100    missing_entry_combined    0.5",22827.527758441905
"CCE, SD=4    training_method    supervised",5156.77251872854
"CCE, SD=4    training_method    supervised_2_percent",5198.072604409315
"CCE, SD=4    training_method    semi",5201.29380148227
"CCE, SD=4    training_method    semi_sup_first",5098.834305883384
"CCE, SD=4    training_method    semi_mixed",5161.456998642302
"CCE, SD=4    training_method    unsupervised",5138.894758619259
"CCE, SD=4    labeled_data_percentage    99",5124.635151644512
"CCE, SD=4    labeled_data_percentage    50",5174.165769323079
"CCE, SD=4    labeled_data_percentage    20",5172.696683382386
"CCE, SD=4    labeled_data_percentage    10",5199.242967644863
"CCE, SD=4    labeled_data_percentage    5",5153.528538002718
"CCE, SD=4    labeled_data_percentage    1",5162.861257998031
"CCE, SD=4    labeled_data_percentage    0.5",5173.948970916439
"CCE, SD=4    labeled_data_percentage    0.25",5144.011695046931
"CCE, SD=4    labeled_data_percentage    0.125",5121.4928207092025
"CCE, SD=4    labeled_data_percentage    0.05",5179.701760796027
"CCE, SD=4    labeled_data_percentage    0.01",5187.074515381654
"CCE, SD=4    sampling_density    15",5358.142628315192
"CCE, SD=4    sampling_density    25",5446.9486611763805
"CCE, SD=4    sampling_density    50",5507.968348123652
"CCE, SD=4    sampling_density    100",5547.440319811067
"CCE, SD=4    sampling_density    150",5552.410265009317
"CCE, SD=4    sampling_density    300",5565.901395078254
"JSD, SD=4    training_method    supervised",5169.189367889619
"JSD, SD=4    training_method    supervised_2_percent",5137.627901968409
"JSD, SD=4    training_method    semi",5175.84359234723
"JSD, SD=4    training_method    semi_sup_first",5172.281524902319
"JSD, SD=4    training_method    semi_mixed",5174.321068008487
"JSD, SD=4    training_method    unsupervised",5169.69425691328
"JSD, SD=4    activation_types    ['relu']",5184.072612191925
"JSD, SD=4    activation_types    ['relu', 'relu', 'relu', 'relu', 'relu']",5153.06046781682
"JSD, SD=4    activation_types    ['sin', 'cos', 'linear']",5164.081930069824
"JSD, SD=4    activation_types    ['sin', 'cos', 'linear', 'relu', 'sigmoid']",5154.010410962165
"JSD, SD=4    input_layer_type    dense",5175.771643768192
"JSD, SD=4    input_layer_type    gaussian_dropout",5148.091612999295
