"JSD, SD=4    activation_types    ['relu', 'relu', 'relu', 'relu', 'relu']",41.04664838,37.44347785,38.92034085,37.7331852,38.7460725,39.39192327,39.8087786,37.87701616,39.60869424,38.13283982,40.86375252,,
"JSD, SD=4    activation_types    ['sin', 'cos', 'linear']",39.81645087,39.82933066,39.06415789,40.45552804,42.04599114,40.96943992,40.27073491,39.25478854,41.39584885,37.79754233,38.67811868,,
"JSD, SD=4    activation_types    ['sin', 'cos', 'linear', 'relu', 'sigmoid']",38.18963425,40.76562131,40.13548187,41.44756888,39.29321621,42.16218664,39.90764336,38.63002019,41.50014592,41.11925173,38.89616801,,
"JSD, SD=4    input_layer_type    dense",35.38014955,33.40212971,32.60297015,27.07783661,36.27977827,33.21482212,25.82930524,28.75538951,35.1379758,29.05938951,34.92525819,,
"JSD, SD=4    input_layer_type    gaussian_dropout",38.11617687,32.18439721,30.00305975,33.56884197,32.07856562,34.64270622,38.66417514,34.37616059,34.18578709,33.95973818,36.17117564,,
"JSD, SD=4    input_layer_type    sqrt_softmax",33.78787505,38.57830192,39.09355029,34.95621092,38.75843176,36.7525131,35.85659364,36.55518403,39.78430489,39.31031266,41.40623165,,
"JSD, SD=4    input_layer_type    gaussian_kernel",30.51064278,32.86076971,27.78253001,31.96359379,34.36880283,32.73352613,35.84534943,32.47487668,34.86555113,33.38024611,33.94623942,,
"JSD, SD=4    input_layer_type    CNN",24.48408052,29.60289229,25.90801215,30.71319761,27.94878672,28.02782261,30.25239477,34.96312273,29.04757229,27.74282735,24.52332605,,
"JSD, SD=4    input_layer_type    VAE",-128.5316046,-128.1161916,-128.1273048,-126.1793058,-129.501298,-127.4679842,-128.3181079,-127.4257773,-128.0789409,-128.5276368,-131.8846645,,
"JSD, SD=4    encoding_dim    2",39.82859015,39.7743479,39.788303,39.09894363,40.51842455,35.49726075,38.24624695,38.20847179,39.98968342,39.50649585,38.66559062,,
"JSD, SD=4    encoding_dim    6",39.69595528,41.12205046,39.20459181,41.33602257,42.31418118,41.80727119,39.74223698,40.11612361,40.36069101,42.5336545,39.38974505,,
"JSD, SD=4    hidden_layers    5",33.52991841,41.72113528,38.08640925,37.31776104,41.51705439,40.77372336,41.75931547,41.61813061,40.75684533,41.33262654,39.59835025,,
"JSD, SD=4    hidden_layers    7",37.12473161,39.18651805,41.1680427,41.27411262,38.10552914,38.71758411,38.92095529,37.01657991,36.58250789,34.0201841,37.94873857,,
"JSD, SD=4    hidden_layers    9",38.39415746,35.74869588,37.46799697,40.0121974,39.78388531,37.76791858,37.40539194,35.92930383,38.20254585,37.92434717,35.87274491,,
"JSD, SD=4    hidden_layers    27",33.95133342,28.40748291,22.24393367,38.79945733,33.63969231,30.33233232,27.95460464,33.80548225,27.68154572,21.46535267,22.85439593,,
"JSD, SD=4    activity_regularizer    ",41.25001052,38.98808754,42.06681854,39.27352591,38.75102461,39.23004047,41.76240873,41.11889816,41.38299879,37.08885601,,,
"JSD, SD=4    activity_regularizer    L2: 0.01",35.70015169,36.22236765,36.65812267,33.10382391,36.93309776,33.99649554,38.35798678,38.28320271,40.03138808,38.39628628,37.6602824,,
"JSD, SD=4    activity_regularizer    L1: 0.01",35.79031382,37.60661523,39.23879487,36.79269856,38.31318179,36.80503254,38.35343935,37.5495386,36.81398321,38.49099005,40.41903383,,
"JSD, SD=4    activity_regularizer    L1: 10^-4",40.84801266,42.70396582,37.70058809,37.90016713,42.97861019,42.07776898,42.58698791,41.64746132,41.98499911,40.12720338,41.30882823,,
"JSD, SD=4    sigma    0.005",98.56182415,98.8381136,98.62820167,99.12100197,98.79122812,98.13880974,98.7862561,99.0928557,98.99769856,99.00403858,98.74240652,,
"JSD, SD=4    sigma    0.01",92.7819759,90.54127289,91.72641506,89.35652116,91.75383348,88.1345918,90.20018665,91.14247388,91.43470204,90.96334884,90.86223812,,
"JSD, SD=4    sigma    0.05",4.611697939,6.826968802,5.990209115,7.26374306,5.519268625,5.349685889,5.995389103,5.513807882,5.973789831,4.051902279,5.402591008,,
"JSD, SD=4    sigma    0.1",9.190036082,8.981866779,7.53502806,8.601678956,8.919687844,8.380580188,7.048369868,8.315348097,8.620593512,7.98213855,7.999280002,,
"JSD, SD=4    sigma    0.2",12.53056254,11.86126033,12.95547479,12.70309321,12.87818837,11.29778586,12.36219914,12.07714651,11.94575548,12.8716673,13.64672732,,
"JSD, SD=4    BN_size    2",49.9869071,43.97274785,49.6760713,49.200127,48.01189985,49.34170051,51.23933318,47.65225375,51.50564597,50.41893988,49.16699843,,
"JSD, SD=4    BN_size    4",34.44912427,35.42463739,36.54158518,37.42848829,36.82685577,37.90499026,38.26954244,37.02436197,36.37584024,35.96962779,35.38561332,,
"JSD, SD=4    BN_size    5",29.3092474,34.05466352,32.10196158,32.68383184,32.45381522,31.78128178,31.2302814,34.44181548,33.48716337,33.37290439,36.18227063,,
"JSD, SD=4    BN_size    10",10.8585394,9.831238409,11.38564011,11.49096387,12.80869598,10.39712641,9.81700914,12.05530047,11.62732556,11.77175423,11.82921393,,
